English,French
the,le / la / les
be,être
to,à / vers
of,de
and,et
a,un / une
in,dans
that,cela / ce / cette
have,avoir
I,je
it,il / elle / cela
for,pour
not,pas
on,sur
with,avec
he,il
as,comme
you,tu / vous
do,faire
at,à
this,ceci / cela
but,mais
his,son / sa / ses
by,par
from,de
they,ils / elles
we,nous
say,dire
her,son / sa / ses
she,elle
or,ou
an,un / une
will,volonté / va
my,mon / ma / mes
one,un / une
all,tout / tous / toutes
would,conditionnel (would)
there,là / il y a
their,leur / leurs
what,quoi / quel / quelle
so,alors / donc
up,haut / en haut
out,dehors
if,si
about,à propos de / environ
who,qui
get,obtenir / avoir
which,quel / laquelle
go,aller
me,me / moi
when,quand
make,faire
can,pouvoir
like,aimer / comme
time,temps
no,non
just,juste
him,lui
know,savoir / connaître
take,prendre
people,gens / personnes
into,dans
year,an / année
your,ton / ta / tes / votre / vos
good,bon / bien
some,quelques / certains
could,pouvoir (conditionnel)
them,eux / les
see,voir
other,autre
than,que
then,puis / alors
now,maintenant
only,seulement
come,venir
its,son / sa / ses (pour un objet)
over,au-dessus de
think,penser
also,aussi
back,arrière / de retour
after,après
use,utiliser
two,deux
how,comment
our,notre / nos
work,travail
first,premier
well,bien
way,manière / chemin
even,même
new,nouveau / nouvelle
want,voir
because,parce que
any,n'importe quel / aucun
these,ces
give,donner
day,jour
most,la plupart / plus
us,nous
is,est
are,sont
was,était
were,étaient
been,été
being,étant
have,avoir
has,a
had,avait
having,ayant
do,faire
does,fait
did,fit
doing,façant
a,un / une
an,un / une
the,le / la / les
and,et
but,mais
if,si
or,ou
because,parce que
although,bien que
however,cependant
therefore,donc
yet,pourtant
then,puis
before,avant
after,après
when,quand
where,où
why,pourquoi
how,comment
just,juste
almost,près
even,même
only,seulement
always,toujours
never,jamais
often,souvent
usually,habituellement
sometimes,parfois
right,droit / juste
left,gauche
up,haut / en haut
down,bas / en bas
below,under
here,ici
there,là
inside,à l'intérieur
outside,à l'extérieur
around,autour
along,le long de
across,à travers
between,entre
next,suivant
near,près de
far,loin
together,ensemble
apart,séparément
above,au-dessus
below,en dessous
inside,à l'intérieur
outside,à l'extérieur
about,à propos de
behind,derrière
beyond,au-delà
among,parmi
during,pendant
in front,devant
instead,au lieu de
between,entre
through,à travers
without,sans
with,avec
each,chaque
some,quelques
every,chaque
few,peu
many,beaucoup
more,plus
less,moins
all,tout
none,aucun
most,la plupart
other,autre
such,tel / telle
few,peu
little,petit
much,beaucoup
several,plusieurs
many,beaucoup
more,plus
most,la plupart
same,même
different,différent
similar,similaire
opposite,opposé
each,chaque
both,les deux
one,un / une
two,deux
three,trois
four,quatre
five,cinq
six,six
seven,sept
eight,huit
nine,neuf
ten,dix
hundred,cent
thousand,mille
million,million
billion,milliard
trillion,trillion
dozen,douzaine
half,moitié
quarter,quart
last,dernier
next,suivant
one,un / une
two,deux
three,trois
four,quatre
five,cinq
six,six
seven,sept
eight,huit
nine,neuf
ten,dix
hundred,cent
thousand,mille
million,million
billion,milliard
trillion,trillion
dozen,douzaine
half,moitié
quarter,quart
first,premier
second,deuxième
third,troisième
last,dernier
next,suivant
previous,précédent
following,suivant
beginning,début
end,fin
start,commencer
stop,arrêter
go,aller
long,long
much,beaucoup
way,manière / chemin
should,devoir (conditionnel)
also,aussi
even,même
work,travail
use,utiliser
life,vie
feel,ressentir
put,mettre
mean,signifier
let,laisser
big,grand
high,haut
every,chaque
own,propre
old,vieux / âgé
too,trop
little,petit
next,suivant
after,après
before,avant
right,droit
stand,se tenir
away,loin
change,changer
play,jouer
run,courir
move,bouger
live,vivre
point,point
work,travail
pass,passer
hold,tenir
reach,atteindre
meet,rencontrer
learn,apprendre
happen,arriver
continue,continuer
stop,arrêter
start,commencer
remain,rester
sit,s'asseoir
call,appeler
grow,grandir
open,ouvrir
close,fermer
return,retourner
agree,être d'accord
decide,décider
explain,expliquer
hope,espérer
follow,suivre
write,écrire
read,lire
hear,entendre
see,voir
speak,parler
listen,écouter
understand,comprendre
show,montrer
run,courir
stop,arrêter
wait,attendre
meet,rencontrer
build,construire
talk,parler
talk,discuter
plan,planifier
know,savoir / connaître
show,montrer
listen,écouter
call,appeler
work,travailler
spend,dépenser
check,vérifier
play,jouer
win,gagner
lose,perdre
win,victoire
come,venir
make,faire
find,trouver
give,donner
get,obtenir
take,prendre
keep,garder
feel,ressentir
decide,décider
change,changer
explain,expliquer
create,créer
write,écrire
run,courir
wait,attendre
play,jouer
understand,comprendre
learn,apprendre
look,regarder
begin,commencer
call,appeler
travel,voyager
need,avoir besoin
return,retourner
choose,choisir
look,regarder
act,agir
happen,arriver
question,questionner
respond,répondre
help,aider
support,soutenir
stop,arrêter
open,ouvrir
close,fermer
speak,parler
answer,répondre
laugh,rire
cry,pleurer
eat,manger
drink,boire
sleep,dormir
wait,attendre
bring,apporter
stay,rester
live,vivre
make,faire
cut,couper
reach,atteindre
jump,sauter
sing,chanter
dance,danser
read,lire
understand,comprendre
learn,apprendre
teach,enseigner
try,essayer
fail,échouer
succeed,réussir
fix,réparer
repair,réparer
drive,conduire
run,courir
walk,marcher
ride,monter
travel,voyager
turn,tourner
move,bouger
play,jouer
sing,chanter
think,penser
speak,parler
listen,écouter
write,écrire
read,lire
hear,entendre
see,voir
show,montrer
ask,demander
tell,dire
explain,expliquer
talk,discuter
read,lire
understand,comprendre
agree,être d'accord
plan,planifier
prepare,préparer
fix,réparer
add,ajouter
remove,enlever
touch,toucher
open,ouvrir
close,fermer
see,voir
feel,ressentir
live,vivre
die,mourir
grow,grandir
make,faire
need,besoins
buy,acheter
sell,vendre
help,aider
teach,enseigner
learn,apprendre
listen,écouter
wait,attendre
bring,apporter
keep,garder
write,écrire
call,appeler
visit,visiter
build,construire
destroy,détruire
find,trouver
seek,chercher
speak,parler
understand,comprendre
write,écrire
read,lire
listen,écouter
look,regarder
follow,suivre
come,venir
go,aller
pass,passer
stop,arrêter
leave,partir
work,travailler
study,étudier
learn,apprendre
teach,enseigner
repeat,répéter
remember,se souvenir
forget,oublier
write,écrire
draw,dessiner
paint,peindre
cook,cuisiner
eat,manger
drink,boire
sleep,dormir
rest,se reposer
wake,réveiller
shower,prendre une douche
brush,brosser
wash,laver
clean,nettoyer
tidy,ranger
organize,organiser
fix,réparer
break,casser
cut,couper
glue,coller
tape,scotcher
paint,peindre
draw,dessiner
play,jouer
sing,chanter
dance,danser
run,courir
walk,marcher
jump,sauter
climb,grimper
swim,nager
ride,monter
fly,voler
drive,conduire
sing,chanter
talk,parler
say,dire
tell,dire / raconter
speak,parler
explain,expliquer
listen,écouter
hear,entendre
see,voir
look,regarder
understand,comprendre
try,essayer
succeed,réussir
fail,échouer
begin,commencer
start,commencer
continue,continuer
finish,finir
stop,arrêter
wait,attendre
move,bouger
come,venir
go,aller
leave,quitter
stay,rester
return,retourner
visit,visiter
travel,voyager
work,travailler
study,étudier
learn,apprendre
teach,enseigner
play,jouer
read,lire
write,écrire
draw,dessiner
paint,peindre
cook,cuisiner
wash,laver
clean,nettoyer
tidy,ranger
fix,réparer
break,casser
cut,couper
glue,coller
tape,scotcher
organize,organiser
speak,parler
sing,chanter
dance,danser
run,courir
walk,marcher
jump,sauter
climb,grimper
swim,nager
ride,monter
fly,voler
drive,conduire
talk,parler
listen,écouter
hear,entendre
see,voir
look,regarder
understand,comprendre
explain,expliquer
say,dire
tell,raconter
speak,parler
write,écrire
read,lire
call,appeler
meet,rencontrer
help,aider
agree,être d'accord
disagree,ne pas être d'accord
choose,choisir
decide,décider
hope,espérer
plan,planifier
prepare,préparer
expect,attendre / s'attendre à
wait,attendre
need,avoir besoin
want,vouloir
like,aimer
dislike,ne pas aimer
love,aimer
hate,détester
enjoy,apprécier
feel,ressentir
touch,toucher
see,voir
hear,entendre
smell, sentir
taste,goûter
speak,parler
talk,discuter
shout,crier
whisper,chuchoter
laugh,rire
cry,pleurer
scream,hurler
smile,sourire
frown,froncer les sourcils
cough,tousser
sneeze,éternuer
yawn,bâiller
sleep,dormir
wake,réveiller
rest,se reposer
relax,se détendre
work,travailler
study,étudier
learn,apprendre
teach,enseigner
study,réviser
examine,examiner
test,tester
practice,pratiquer
exercise,faire de l'exercice
play,jouer
sing,chanter
dance,danser
run,courir
walk,marcher
swim,nager
ride,monter
fly,voler
climb,grimper
jump,sauter
skip,sauter / passer
skip,sauter
fall,tomber
stumble,trébucher
sit,s'asseoir
stand,se lever
lie,mentir
tell,dire
ask,demander
answer,répondre
explain,expliquer
question,questionner
discuss,discuter
talk,parler
shout,crier
whisper,chuchoter
agree,être d'accord
disagree,ne pas être d'accord
accept,accepter
refuse,refuser
allow,permettre
forbid,interdire
recommend,recommander
advise,conseiller
suggest,suggérer
warn,avertir
encourage,encourager
convince,convaincre
invite,inviter
refuse,refuser
decline,décliner
choose,choisir
select,sélectionner
decide,décider
wish,souhaiter
hope,espérer
need,avoir besoin
want,vouloir
like,aimer
prefer,préférer
enjoy,apprécier
dislike,ne pas aimer
love,aimer
hate,détester
fear,craindre
surprise,surprendre
worry,s'inquiéter
wonder,se demander
expect,attendre
fear,peur
joy,joie
happiness,bonheur
sadness,tristesse
anger,colère
surprise,surprise
love,amour
hate,haine
shame,honte
guilt,culpabilité
fear,peur
relief,soulagement
hope,espoir
despair,désespoir
loneliness,solitude
boredom,ennui
excitement,excitation
interest,intérêt
curiosity,curiosité
patience,patience
kindness,gentillesse
honesty,honnêteté
responsibility,responsabilité
selfishness,égoïsme
generosity,générosité
ambition,ambition
motivation,motivation
attitude,attitude
behavior,comportement
mood,humeur
personality,personnalité
character,caractère
emotion,émotion
feeling,sentiment
thought,thought
idea,idée
belief,croyance
opinion,opinion
suggestion,suggestion
decision,décision
choice,choix
plan,plan
purpose,but
reason,raison
cause,cause
effect,effet
result,résultat
consequence,conséquence
outcome,résultat
possibility,possibilité
probability,probabilité
option,option
alternative,alternative
opportunity,opportunité
chance,chance
risk,risque
danger,danger
safety,sécurité
security,sécurité
threat,menace
problem,problème
solution,solution
challenge,défi
success,succès
failure,échec
difficulty,difficulté
obstacle,obstacle
opportunity,occasion
question,question
answer,réponse
doubt,doute
certainty,certitude
mystery,mystère
truth,vérité
lie,mensonge
fact,fait
fiction,fiction
knowledge,connaissance
understanding,compréhension
wisdom,sagesse
intelligence,intelligence
imagination,imagination
creativity,créativité
logic,logique
reason,raison
judgment,jugement
conclusion,conclusion
assumption,hypothèse
belief,croyance
opinion,opinion
view,vue
thought,pensée
idea,idé
theory,théorie
hypothesis,hypothèse
experiment,expérience
result,résultat
data,données
information,information
analysis,analyse
method,méthode
approach,approche
process,processus
technique,technique
skill,compétence
talent,talent
ability,capacité
strength,force
weakness,faiblesse
power,pouvoir
energy,énergie
effort,effort
work,travail
achievement,réalisation
success,succès
failure,échec
mistake,erreur
accident,accident
incident,incident
problem,problème
solution,solution
challenge,defi
opportunity,opportunité
risk,risque
danger,danger
harm,dommage
injury,blessure
pain,douleur
sickness,maladie
health,santé
wellness,bien-être
fitness,forme physique
exercise,exercice
workout,entrainement
diet,régime
food,nourriture
drink,boisson
meal,repas
snack,en-cas
breakfast,petit déjeuner
lunch,dejeuner
dinner,dîner
supper,souper
dessert,dessert
vegetable,légume
fruit,fruit
meat,viande
fish,poisson
bread,pain
cheese,fromage
milk,lait
water,eau
juice,jus
soda,soda
coffee,café
tea,thé
wine,vin
beer,bière
alcohol,alcool
sugar,sucre
salt,sel
pepper,poivre
spice,épice
sauce,sauce
soup,soupe
sandwich,sandwich
pizza,pizza
burger,hamburger
chicken,poulet
pasta,pâtes
rice,riz
noodles,nouilles
salad,salade
fruit,fruit
vegetable,légume
nut,noix
seed,graine
bread,pain
cake,gâteau
pie,tarte
cookie,biscuit
candy,bonbon
chocolate,chocolat
ice cream,crème glacée
snack,en-cas
meal,repas
fast food,restauration rapide
restaurant,restaurant
cafe,café
bakery,boulangerie
bar,bar
pub,pub
kitchen,cuisine
stove,cuisinière
oven,four
refrigerator,réfrigérateur
freezer,congélateur
microwave,micro-ondes
toaster,grille-pain
blender,mixeur
mixer,batteur
pot,pot
pan,poêle
knife,couteau
fork,fourchette
spoon,couillère
plate,assiette
bowl,bol
glass,verre
cup,tasse
mug,mug
bottle,bouteille
jar,bocal
napkin,serviette
table,table
chair,chaise
sofa,canapé
bed,lit
pillow,oreiller
blanket,couverture
sheet,drap
mattress,matelas
wardrobe,armoire
dresser,commode
shelf,étagère
cupboard,placard
drawer,tiroir
mirror,miroir
lamp,lampe
light,lumière
curtain,rideau
window,feneêtre
door,porte
wall,mur
floor,sol
ceiling,plafond
roof,toit
garden,jardin
yard,cour
fence,clôture
gate,porte
path,chemin
road,route
street,rue
highway,autoroute
sidewalk,trottoir
bridge,pont
tunnel,tunnel
building,bâtiment
house,maison
apartment,appartement
room, chambre
kitchen,cuisine
living room,salon
bathroom,salle de bain
toilet,toilettes
garage,garage
office,bureau
shop,magasin
store,magasin
mall,centre commercial
bank,banque
hospital,hôpital
school,école
university,université
college,collège
library,bibliothèque
church,église
temple,temple
mosque,mosquée
synagogue,synagogue
park,parc
playground,aire de jeux
gym,gymnase
stadium,stade
airport,aéroport
train station,gare
bus station,station de bus
port,port
subway,métro
taxi,taxi
car,voiture
truck,camion
motorcycle,moto
bicycle,vélo
bus,autobus
train,train
ship,navire
boat,bateau
plane,avion
helicopter,hélicoptère
journey, voyage
trip, voyage
vacation, vacances
holiday,jour férié
adventure,aventure
exploration,exploration
expedition,expédition
travel,voyager
visit,visiter
tour,circuit
guide,guide
map,carte
direction,direction
location,emplacement
destination,destination
departure,départ
arrival,arrivée
ticket,billet
passport,passeport
visa,visa
luggage,bagages
suitcase,valise
backpack,sac à dos
bag,sac
wallet,portefeuille
money,argent
currency,monnaie
