English,French
the,le / la / les
be,être
to,à / vers
of,de
and,et
a,un / une
in,dans
that,cela / ce / cette
have,avoir
I,je
it,il / elle / cela
for,pour
not,pas
on,sur
with,avec
he,il
as,comme
you,tu / vous
do,faire
at,à
this,ceci / cela
but,mais
his,son / sa / ses
by,par
from,de
they,ils / elles
we,nous
say,dire
her,son / sa / ses
she,elle
or,ou
an,un / une
will,volonté / va
my,mon / ma / mes
one,un / une
all,tout / tous / toutes
would,conditionnel (would)
there,là / il y a
their,leur / leurs
what,quoi / quel / quelle
so,alors / donc
up,haut / en haut
out,dehors
if,si
about,à propos de / environ
who,qui
get,obtenir / avoir
which,quel / laquelle
go,aller
me,me / moi
when,quand
make,faire
can,pouvoir
like,aimer / comme
time,temps
no,non
just,juste
him,lui
know,savoir / connaître
take,prendre
people,gens / personnes
into,dans
year,an / année
your,ton / ta / tes / votre / vos
good,bon / bien
some,quelques / certains
could,pouvoir (conditionnel)
them,eux / les
see,voir
other,autre
than,que
then,puis / alors
now,maintenant
look,regarder
only,seulement
come,venir
its,son / sa / ses (pour un objet)
over,au-dessus de
think,penser
also,aussi
back,arrière / de retour
after,après
use,utiliser
two,deux
how,comment
our,notre / nos
work,travail
first,premier
well,bien
way,manière / chemin
even,même
new,nouveau / nouvelle
want,voir
because,parce que
any,n'importe quel / aucun
these,ces
give,donner
day,jour
most,la plupart / plus
us,nous
is,est
are,sont
was,était
were,étaient
been,été
being,étant
has,a
had,avait
having,ayant
does,fait
did,fit
doing,façant
although,bien que
however,cependant
therefore,donc
yet,pourtant
then,puis
before,avant
where,où
why,pourquoi
almost,près
always,toujours
never,jamais
often,souvent
usually,habituellement
sometimes,parfois
right,droit / juste
left,gauche
down,bas / en bas
above,au-dessus
below,under
here,ici
there,là
inside,à l'intérieur
outside,à l'extérieur
around,autour
along,le long de
across,à travers
between,entre
next,suivant
near,près de
far,loin
together,ensemble
apart,séparément
below,en dessous
about,à propos de
behind,derrière
beyond,au-delà
among,parmi
during,pendant
in front,devant
instead,au lieu de
through,à travers
without,sans
each,chaque
some,quelques
every,chaque
few,peu
many,beaucoup
more,plus
less,moins
all,tout
none,aucun
most,la plupart
such,tel / telle
little,petit
much,beaucoup
several,plusieurs
same,même
different,différent
similar,similaire
opposite,opposé
both,les deux
three,trois
four,quatre
five,cinq
six,six
seven,sept
eight,huit
nine,neuf
ten,dix
hundred,cent
thousand,mille
million,million
billion,milliard
trillion,trillion
dozen,douzaine
half,moitié
quarter,quart
last,dernier
second,deuxième
third,troisième
previous,précédent
following,suivant
beginning,début
end,fin
start,commencer
stop,arrêter
long,long
should,devoir (conditionnel)
life,vie
feel,ressentir
put,mettre
mean,signifier
let,laisser
big,grand
high,haut
own,propre
old,vieux / âgé
too,trop
right,droit
stand,se tenir
away,loin
change,changer
play,jouer
run,courir
move,bouger
live,vivre
point,point
pass,passer
hold,tenir
reach,atteindre
meet,rencontrer
learn,apprendre
happen,arriver
continue,continuer
remain,rester
sit,s'asseoir
call,appeler
grow,grandir
open,ouvrir
close,fermer
return,retourner
agree,être d'accord
decide,décider
explain,expliquer
hope,espérer
enjoy,apprécier
follow,suivre
write,écrire
read,lire
hear,entendre
speak,parler
listen,écouter
understand,comprendre
show,montrer
help,aider
wait,attendre
build,construire
talk,parler
talk,discuter
plan,planifier
work,travailler
spend,dépenser
check,vérifier
win,gagner
lose,perdre
win,victoire
find,trouver
get,obtenir
keep,garder
create,créer
begin,commencer
travel,voyager
need,avoir besoin
choose,choisir
act,agir
question,questionner
respond,répondre
support,soutenir
answer,répondre
laugh,rire
cry,pleurer
eat,manger
drink,boire
sleep,dormir
bring,apporter
stay,rester
cut,couper
jump,sauter
sing,chanter
dance,danser
teach,enseigner
try,essayer
fail,échouer
succeed,réussir
fix,réparer
repair,réparer
drive,conduire
walk,marcher
ride,monter
turn,tourner
ask,demander
tell,dire
prepare,préparer
add,ajouter
remove,enlever
touch,toucher
die,mourir
need,besoins
buy,acheter
sell,vendre
visit,visiter
destroy,détruire
seek,chercher
leave,partir
study,étudier
repeat,répéter
remember,se souvenir
forget,oublier
draw,dessiner
paint,peindre
cook,cuisiner
rest,se reposer
wake,réveiller
shower,prendre une douche
brush,brosser
wash,laver
clean,nettoyer
tidy,ranger
organize,organiser
break,casser
glue,coller
tape,scotcher
climb,grimper
swim,nager
fly,voler
tell,dire / raconter
finish,finir
leave,quitter
tell,raconter
disagree,ne pas être d'accord
expect,attendre / s'attendre à
want,vouloir
like,aimer
dislike,ne pas aimer
love,aimer
hate,détester
smell,sentir
taste,goûter
shout,crier
whisper,chuchoter
scream,hurler
smile,sourire
frown,froncer les sourcils
cough,tousser
sneeze,éternuer
yawn,bâiller
relax,se détendre
study,réviser
examine,examiner
test,tester
practice,pratiquer
exercise,faire de l'exercice
skip,sauter / passer
skip,sauter
fall,tomber
stumble,trébucher
stand,se lever
lie,mentir
discuss,discuter
accept,accepter
refuse,refuser
allow,permettre
forbid,interdire
recommend,recommander
advise,conseiller
suggest,suggérer
warn,avertir
encourage,encourager
convince,convaincre
invite,inviter
decline,décliner
select,sélectionner
wish,souhaiter
prefer,préférer
fear,craindre
surprise,surprendre
worry,s'inquiéter
wonder,se demander
expect,attendre
fear,peur
joy,joie
happiness,bonheur
sadness,tristesse
anger,colère
surprise,surprise
love,amour
hate,haine
shame,honte
guilt,culpabilité
relief,soulagement
hope,espoir
despair,désespoir
loneliness,solitude
boredom,ennui
excitement,excitation
interest,intérêt
curiosity,curiosité
patience,patience
kindness,gentillesse
honesty,honnêteté
responsibility,responsabilité
selfishness,égoïsme
generosity,générosité
ambition,ambition
motivation,motivation
attitude,attitude
behavior,comportement
mood,humeur
personality,personnalité
character,caractère
emotion,émotion
feeling,sentiment
thought,thought
idea,idée
belief,croyance
opinion,opinion
suggestion,suggestion
decision,décision
choice,choix
plan,plan
purpose,but
reason,raison
cause,cause
effect,effet
result,résultat
consequence,conséquence
outcome,résultat
possibility,possibilité
probability,probabilité
option,option
alternative,alternative
opportunity,opportunité
chance,chance
risk,risque
danger,danger
safety,sécurité
security,sécurité
threat,menace
problem,problème
solution,solution
challenge,défi
success,succès
failure,échec
difficulty,difficulté
obstacle,obstacle
opportunity,occasion
question,question
answer,réponse
doubt,doute
certainty,certitude
mystery,mystère
truth,vérité
lie,mensonge
fact,fait
fiction,fiction
knowledge,connaissance
understanding,compréhension
wisdom,sagesse
intelligence,intelligence
imagination,imagination
creativity,créativité
logic,logique
judgment,jugement
conclusion,conclusion
assumption,hypothèse
view,vue
thought,pensée
idea,idé
theory,théorie
hypothesis,hypothèse
experiment,expérience
data,données
information,information
analysis,analyse
method,méthode
approach,approche
process,processus
technique,technique
skill,compétence
talent,talent
ability,capacité
strength,force
weakness,faiblesse
power,pouvoir
energy,énergie
effort,effort
achievement,réalisation
mistake,erreur
accident,accident
incident,incident
challenge,defi
harm,dommage
injury,blessure
pain,douleur
sickness,maladie
health,santé
wellness,bien-être
fitness,forme physique
exercise,exercice
workout,entrainement
diet,régime
food,nourriture
drink,boisson
meal,repas
snack,en-cas
breakfast,petit déjeuner
lunch,dejeuner
dinner,dîner
supper,souper
dessert,dessert
vegetable,légume
fruit,fruit
meat,viande
fish,poisson
bread,pain
cheese,fromage
milk,lait
water,eau
juice,jus
soda,soda
coffee,café
tea,thé
wine,vin
beer,bière
alcohol,alcool
sugar,sucre
salt,sel
pepper,poivre
spice,épice
sauce,sauce
soup,soupe
sandwich,sandwich
pizza,pizza
burger,hamburger
chicken,poulet
pasta,pâtes
rice,riz
noodles,nouilles
salad,salade
nut,noix
seed,graine
cake,gâteau
pie,tarte
cookie,biscuit
candy,bonbon
chocolate,chocolat
ice cream,crème glacée
fast food,restauration rapide
restaurant,restaurant
cafe,café
bakery,boulangerie
bar,bar
pub,pub
kitchen,cuisine
stove,cuisinière
oven,four
refrigerator,réfrigérateur
freezer,congélateur
microwave,micro-ondes
toaster,grille-pain
blender,mixeur
mixer,batteur
pot,pot
pan,poêle
knife,couteau
fork,fourchette
spoon,couillère
plate,assiette
bowl,bol
glass,verre
cup,tasse
mug,mug
bottle,bouteille
jar,bocal
napkin,serviette
table,table
chair,chaise
sofa,canapé
bed,lit
pillow,oreiller
blanket,couverture
sheet,drap
mattress,matelas
wardrobe,armoire
dresser,commode
shelf,étagère
cupboard,placard
drawer,tiroir
mirror,miroir
lamp,lampe
light,lumière
curtain,rideau
window,feneêtre
door,porte
wall,mur
floor,sol
ceiling,plafond
roof,toit
garden,jardin
yard,cour
fence,clôture
gate,porte
path,chemin
road,route
street,rue
highway,autoroute
sidewalk,trottoir
bridge,pont
tunnel,tunnel
building,bâtiment
house,maison
apartment,appartement
room,chambre
living room,salon
bathroom,salle de bain
toilet,toilettes
garage,garage
office,bureau
shop,magasin
store,magasin
market,marché
mall,centre commercial
bank,banque
hospital,hôpital
school,école
university,université
college,collège
library,bibliothèque
church,église
temple,temple
mosque,mosquée
synagogue,synagogue
park,parc
playground,aire de jeux
gym,gymnase
stadium,stade
airport,aéroport
train station,gare
bus station,station de bus
port,port
subway,métro
taxi,taxi
car,voiture
truck,camion
motorcycle,moto
bicycle,vélo
bus,autobus
train,train
ship,navire
boat,bateau
plane,avion
helicopter,hélicoptère
journey,voyage
trip,voyage
vacation,vacances
holiday,jour férié
adventure,aventure
exploration,exploration
expedition,expédition
tour,circuit
guide,guide
map,carte
direction,direction
location,emplacement
destination,destination
departure,départ
arrival,arrivée
ticket,billet
passport,passeport
visa,visa
luggage,bagages
suitcase,valise
backpack,sac à dos
bag,sac
wallet,portefeuille
money,argent
currency,monnaie
the,le/la
to,à
a,un/une
that,que
it,il/elle
you,tu/vous
this,ce/cette
his,son
they,ils/elles
her,sa
an,un/une
will,volonté
my,mon
one,un
would,voudrais
their,leur
what,quoi
so,donc
up,en haut
about,au sujet de
which,quel
me,moi
like,comme
know,savoir
people,gens
year,année
your,votre
good,bon
down,en bas
off,éteint
over,sur
under,sous
again,encore
further,plus loin
once,une fois
any,n'importe quel
such,tel
nor,ni
very,très